id,competitor_id,llm_analysis_id,llm_provider,is_mentioned,rank_position,sentiment_score,confidence_score,response_text,summary_text,analyzed_at,created_at,prompt_id,analysis_session_id
00e312c9-c0a3-4664-8006-1cd92079403f,7ead2226-d5df-47a4-bbc8-533dbfb2fc0f,0201086f-f002-494a-b39d-ffba3bb8e418,gemini,false,0,0.00,0.95,Sample response text for testing,Sample summary text for testing,2025-09-17 12:00:00.000000+00,2025-09-17 12:00:00.000000+00,,
0281d89d-6b29-4c1e-a447-fde77ac678e7,392a282c-d2dc-4318-90bd-fc552884c4f4,00986024-f6e7-4f24-a793-55f2581ce3b0,claude,false,0,0.00,0.95,Sample response text for testing,Sample summary text for testing,2025-09-17 12:00:00.000000+00,2025-09-17 12:00:00.000000+00,,
03f19b75-6bc6-49be-8906-8f4ad670158f,f7dba51d-92af-414c-8cf5-f036c224d993,02240154-1361-4090-9f6d-30fd6d0ee0cd,claude,false,0,0.00,0.95,Sample response text for testing,Sample summary text for testing,2025-09-17 12:00:00.000000+00,2025-09-17 12:00:00.000000+00,,
053121b4-aa10-4d31-ba47-f6daf45a5542,b0daaf4b-d42c-444a-9414-79ba5e6902db,02a87b15-7a69-49ce-97e4-f8574f04b264,claude,false,0,0.00,0.95,Sample response text for testing,Sample summary text for testing,2025-09-17 12:00:00.000000+00,2025-09-17 12:00:00.000000+00,,
067a6b16-6348-47f3-8633-7582291e859b,f7dba51d-92af-414c-8cf5-f036c224d993,01d20229-fde8-4c17-9d26-3aa622409ed9,chatgpt,false,0,0.00,0.95,Sample response text for testing,Sample summary text for testing,2025-09-17 12:00:00.000000+00,2025-09-17 12:00:00.000000+00,,
06a18ba4-fac3-447b-9d39-896d20bb3ebf,4598379e-942f-4203-9bcd-dad968f9767b,00911a6f-d09e-4c64-af1d-78b40aed642b,gemini,false,0,0.00,0.95,Sample response text for testing,Sample summary text for testing,2025-09-17 12:00:00.000000+00,2025-09-17 12:00:00.000000+00,,
075c1cf0-7a06-4c56-9786-0a0f284b07fc,f7073ddc-5875-408b-9523-a6c849c854dc,0010e096-84a9-49d5-b35c-d4c423fa7af1,claude,false,0,0.00,0.95,Sample response text for testing,Sample summary text for testing,2025-09-17 12:00:00.000000+00,2025-09-17 12:00:00.000000+00,,
07cf4fe6-c802-49e1-a06e-2002afe44d5c,a93cd4d9-9360-417b-9911-750b99591644,01020bcf-cd95-4c16-9e89-c9b1bad2c329,claude,false,0,0.00,0.95,Sample response text for testing,Sample summary text for testing,2025-09-17 12:00:00.000000+00,2025-09-17 12:00:00.000000+00,,
086b7fa5-4fde-4848-8bb5-1375959d38a3,64bb8d43-2dd6-4ab9-b6f3-38643f154e02,00240580-8585-48f4-9d55-2e4950d5bc5f,claude,false,0,0.00,0.95,Sample response text for testing,Sample summary text for testing,2025-09-17 12:00:00.000000+00,2025-09-17 12:00:00.000000+00,,
0945f8ab-e9c1-4d30-ba8a-5ecaf6a57435,f7073ddc-5875-408b-9523-a6c849c854dc,02a87b15-7a69-49ce-97e4-f8574f04b264,claude,false,0,0.00,0.95,Sample response text for testing,Sample summary text for testing,2025-09-17 12:00:00.000000+00,2025-09-17 12:00:00.000000+00,,
0cb946d0-1fff-44c0-9f79-761f8369a3b6,f3a22b95-28ba-4ac5-bcff-d2ae3cce746e,00dbb7ba-6feb-4516-9ee1-8a7f03000037,gemini,false,0,0.00,0.95,Sample response text for testing,Sample summary text for testing,2025-09-17 12:00:00.000000+00,2025-09-17 12:00:00.000000+00,,
0f94f6da-bbe9-4e58-b6b2-cc2a3d70f7a7,64108adc-fe02-46ad-bbee-1ad407833f79,0092c449-1355-4b43-b9a1-8074fcc7c016,claude,false,0,0.00,0.95,Sample response text for testing,Sample summary text for testing,2025-09-17 12:00:00.000000+00,2025-09-17 12:00:00.000000+00,,
